(136300, 60100)
(92300, 40100)
(112000, 39700)
(161000, 45400)
(127500, 43300)
(132900, 49500)
(84600, 34700)
(139300, 45700)
(167900, 51100)
(152500, 48700)
(103600, 41600)
(126300, 46000)
(175000, 54300)
(130500, 46900)
(73700, 33900)
(92600, 36700)
(105500, 37000)
(90700, 35800)
(180800, 52900)
(140300, 44900)
(73400, 31800)
(67600, 32800)
(131000, 42200)
(92800, 34800)
(85900, 31500)
(102600, 36300)
(118300, 37700)
(171600, 50000)
(172700, 48700)
(162900, 47600)
(115500, 37900)
(170600, 47000)
(110000, 41600)
(113400, 40500)
(105100, 36000)
(87300, 32000)
(133400, 42000)
(121900, 43600)
(78800, 33200)
(123200, 43100)
(160500, 49700)
(77100, 33200)
(106200, 37400)
(149000, 46500)
(94600, 35600)
(110600, 35300)
(76200, 34300)
(71400, 32900)
(96800, 36700)
(82000, 30300)
(155600, 67000)
(66900, 31700)
(115400, 40200)
(91600, 35200)
(88400, 31900)
(87700, 37400)
(87400, 33300)
(75500, 32400)
(130300, 47200)
(168400, 48200)
(108900, 41100)
(89000, 36900)
(133800, 42000)
(136700, 43400)
(108500, 41100)
(77800, 35400)
(103400, 35200)
(118800, 40200)
(96000, 36800)
(125900, 40300)
(135900, 41100)
(172700, 48900)
(119400, 40200)
(118700, 41200)
(77200, 31400)
(89300, 39600)
(158700, 51200)
(101500, 37200)
(154100, 48000)
(104600, 37000)
(99400, 35800)
(70300, 30800)
(139700, 43300)
(81400, 33500)
(125100, 41900)
(72200, 34400)
(91100, 34700)
(157500, 47500)
(82500, 36300)
(75400, 34100)
(116000, 44300)
(94400, 37500)
(87500, 33100)
(101800, 38400)
(85000, 35300)
(87200, 34300)
(105700, 37200)
(148600, 45800)
(74300, 34500)
(91500, 35800)
